"Quarter","Economic_Sector","Employment","Average_Weekly_Earnings_Seasonally_Adjusted"
2019-01-01,"Other service activities (S)",25900,451.72
2019-01-01,"Industry (B to E)",232700,898.15
2019-01-01,"Electricity, water supply and waste management (D,E)",18100,1081.81
2019-01-01,"Financial, insurance and real estate activities (K,L)",95000,1150.87
2019-01-01,"Arts, entertainment, recreation and other service activities (R,S)",53900,506.9
2019-04-01,"Mining and quarrying (B)",8300,946.59
2019-04-01,"Manufacturing (C)",203200,890.59
2019-04-01,"Construction (F)",112200,793.6
2019-04-01,"Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",298200,590.59
2019-04-01,"Transportation and storage (H)",83500,836.41
2019-04-01,"Accommodation and food service activities (I)",187300,363.49
2019-04-01,"Information and communication (J)",75300,1214.78
2019-04-01,"Financial and insurance activities (K)",87200,1218.05
2019-04-01,"Real estate activities (L)",10400,724.32
2019-04-01,"Professional, scientific and technical activities (M)",98400,955.89
2019-04-01,"Administrative and support service activities (N)",107300,620.68
2019-04-01,"Public administration and defence; compulsory social security (O)",136600,962.31
2019-04-01,"Education (P)",165600,856.93
2019-04-01,"Human health and social work activities (Q)",252400,750.04
2019-04-01,"Arts, entertainment and recreation (R)",28300,535.74
2019-04-01,"Other service activities (S)",25700,459.81
2019-04-01,"Industry (B to E)",228800,907.19
2019-04-01,"Electricity, water supply and waste management (D,E)",17400,1091.21
2019-04-01,"Financial, insurance and real estate activities (K,L)",97600,1164.37
2019-04-01,"Arts, entertainment, recreation and other service activities (R,S)",54100,499.32
2019-07-01,"Mining and quarrying (B)",6200,961.85
2019-07-01,"Manufacturing (C)",217400,895.86
2019-07-01,"Construction (F)",112400,802.74
2019-07-01,"Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",303200,603.95
2019-07-01,"Transportation and storage (H)",83500,836.32
2019-07-01,"Accommodation and food service activities (I)",184200,372.34
2019-07-01,"Information and communication (J)",82200,1260.15
2019-07-01,"Financial and insurance activities (K)",88800,1217.69
2019-07-01,"Real estate activities (L)",9700,729.58
2019-07-01,"Professional, scientific and technical activities (M)",92900,967.87
2019-07-01,"Administrative and support service activities (N)",108500,616.04
2019-07-01,"Public administration and defence; compulsory social security (O)",140300,973.3
2019-07-01,"Education (P)",170800,859.52
2019-07-01,"Human health and social work activities (Q)",256200,733.35
2019-07-01,"Arts, entertainment and recreation (R)",29100,537.73
2019-07-01,"Other service activities (S)",26900,461.68
2019-07-01,"Industry (B to E)",240000,913.84
2019-07-01,"Electricity, water supply and waste management (D,E)",16400,1151.09
2019-07-01,"Financial, insurance and real estate activities (K,L)",98500,1166.38
2019-07-01,"Arts, entertainment, recreation and other service activities (R,S)",56000,500.65
2019-10-01,"Mining and quarrying (B)",6100,880.06
2019-10-01,"Manufacturing (C)",211900,900
2019-10-01,"Construction (F)",114400,819.5
2019-10-01,"Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",311300,595.19
2019-10-01,"Transportation and storage (H)",84500,814.6
2019-10-01,"Accommodation and food service activities (I)",184700,376.45
2019-10-01,"Information and communication (J)",79200,1262.92
2019-10-01,"Financial and insurance activities (K)",88600,1230.06
2019-10-01,"Real estate activities (L)",10500,730.81
2019-10-01,"Professional, scientific and technical activities (M)",100400,957.49
2019-10-01,"Administrative and support service activities (N)",107800,626.8
2019-10-01,"Public administration and defence; compulsory social security (O)",143000,974.59
2019-10-01,"Education (P)",178800,876.52
2019-10-01,"Human health and social work activities (Q)",255700,752.85
2019-10-01,"Arts, entertainment and recreation (R)",30400,546.52
2019-10-01,"Other service activities (S)",24500,484.42
